The table below lists the Kanji (Japanese ideographic characters) that are
built into the GNU libplot library and the GNU plotting utilities based on
it, such as `graph'.  For each Kanji, the table lists its index according
to three different numbering schemes, and one or more possible meanings.

In all, 603 Kanji are available.  They include 596 of the 2965 Level 1
(i.e., frequently used) Kanji, and seven additional Level 2 Kanji.  The
603 Kanji were digitized by Dr. Allen V. Hershey of the U.S. Naval Surface
Weapons Center (Dahlgren, VA) in the mid-1960s.  They include many Kanji
used in scientific writing.  For an explanation of how the 603 were chosen,
see his technical report "Calligraphy for Computers".  (Available from the
U.S. National Technical Information Service at +1 703 487 4650; ask for
item number AD662398.)

These Kanji are part of the HersheyEUC font, which is employed for drawing
multibyte Japanese text strings.  But you may also use these Kanji while
drawing text strings in any other Hershey font, by inserting the
appropriate escape sequences.  For example, you may use Kanji to label the
axes of a graph prepared with `graph'.

The first column of the table lists the hexadecimal index of each Kanji in
the 2-byte encoding specified by the JIS X0208 standard, and the second
column lists its index in the 2-byte Unicode encoding.  For information on
the JIS X0208 standard, see Ken Lunde's "Understanding Japanese Information
Processing" (O'Reilly, 1993), or his on-line supplement,
http://www.ora.com/people/authors/lunde/cjk_inf.html .

Once you know the hexadecimal JIS code for a Kanji, you may use it when
drawing a text string in any of the non-Japanese Hershey fonts built into
GNU libplot and GNU `graph'.  For example, Kanji J3021 would be specified,
when drawing a text string in any non-Japanese Hershey font, by the escape
sequence "\#J3021".  Four hexadecimal digits are needed after the "\#J".
They may be in upper or lower case; e.g. "\#J6D55" is equivalent to
"\#J6d55".  If you are using the HersheyEUC font for multibyte encoding of
Japanese, you would encode Kanji J3021 as, instead, the pair of successive
bytes `0xb0' and `0xa1'.  That is because 0x80 + 0x30 = 0xb0 
and 0x80 + 0x21 = 0xa1.

The third column lists the index of each Kanji, in decimal, as specified in
the "Modern Reader's Japanese-English Character Dictionary", edited by
A. N. Nelson. (C. E. Tuttle and Co., 1962, available as ISBN 0-8048-0408-7
for approximately US$50; a revised edition [ISBN 0-8048-2036-8] appeared in
1997, but uses a different numbering.)  GNU libplot supports the
specification of Kanji by decimal `Nelson index', as well as by hexadecimal
JIS code.  As you can see from the table, Kanji N0001 is equivalent to
Kanji J306c.  This Kanji could be specified, when drawing a text string in
any non-Japanese Hershey font, by the escape sequence "\#N0001", as well as
by the escape sequence "\#J306c".  Four decimal digits are required.

The table was constructed with the aid of the KANJIDIC file prepared by Jim
Breen <jwb@dgs.monash.edu.au>.  The KANJIDIC file is a text file that
contains comprehensive information about each Japanese Kanji, with one line
for each Kanji listed in the JIS X0208 standard.  Correspondences to other
numberings (Unicode, Nelson, etc.) are given.  The KANJIDIC file is
available at ftp://ftp.monash.edu.au/pub/nihongo/kanjidic.gz , and
documentation on its format is available at
ftp://ftp.monash.edu.au/pub/nihongo/kanjidic.doc .


Level 1 Kanji (total number: 596)
---------------------------------

JIS	Unicode	Nelson		Meaning(s)
---	------	------		----------

J3021	U4e9c	N0043	 {Asia} {rank next} {come after} {-ous}
J3026	U611b	N2829	 {love} {affection} {favourite}
J302d	U60aa	N0062	 {bad} {vice} {rascal} {false} {evil} {wrong}
J3035	U5727	N0818	 {pressure} {push} {overwhelm} {oppress} {dominate}
J303f	U6216	N1802	 {some} {one} {or} {possibly} {a certain}
J3045	U6697	N2154	 {darkness} {disappear} {shade} {informal} {grow dark} {be blinded}
J304c	U4f4d	N0401	 {rank} {grade} {throne} {crown} {about} {some}
J3057	U6613	N2107	 {easy} {fortune-telling} {ready to} {simple} {divination}
J3059	U70ba	N0138	 {do} {change} {make} {benefit} {welfare} {be of use} {reach to} {try} {practice} {cost} {serve as} {good} {advantage} {as a result of}
J305b	U7570	N3008	 {uncommon} {queerness} {strangeness} {wonderful} {curious} {unusual}
J305e	U7def	N3579	 {horizontal} {woof} {left & right} {latitude}
J3061	U8863	N4214	 {garment} {clothes} {dressing}
J306c	U4e00	N0001	 {one}
J3070	U7a32	N3294	 {rice plant}
J3078	U56e0	N1026	 {cause} {factor} {be associated with} {depend on} {be limited to}
J307a	U5f15	N1562	 {pull} {tug} {jerk} {admit} {install} {quote} {refer to}
J3122	U9670	N5006	 {shade} {yin} {negative} {sex organs} {secret} {shadow}
J3126	U53f3	N0878	 {right}
J3127	U5b87	N1280	 {eaves} {roof} {house} {heaven}
J3129	U7fbd	N3673	 {feathers}
J312b	U96e8	N5042	 {rain}
J3132	U6e26	N2629	 {whirlpool} {eddy} {vortex}
J313b	U74dc	N2973	 {melon}
J313f	U904b	N4725	 {carry} {luck} {destiny} {fate} {lot} {transport} {progress} {advance}
J3140	U96f2	N5046	 {cloud}
J314a	U6c38	N0130	 {eternity} {long} {lengthy}
J3155	U6db2	N2599	 {fluid} {liquid} {juice} {sap} {secretion}
J315f	U5186	N0617	 {circle} {yen} {round}
J3173	U9060	N4733	 {distant} {far}
J3176	U5869	N1125	 {salt}
J3177	U65bc	N2083	 {at} {in} {on} {as for}
J317e	U5fdc	N1504	 {apply} {answer} {yes} {OK} {reply} {accept}
J3221	U62bc	N1885	 {push} {stop} {check} {subdue} {attach} {seize} {weight} {shove} {press} {seal} {do in spite of}
J3223	U6a2a	N2361	 {sideways} {side} {horizontal} {width} {woof}
J3226	U738b	N2922	 {king} {rule} {magnate}
J322b	U9ec4	N5399	 {yellow}
J322f	U5104	N0551	 {hundred million} {10**8}
J3235	U4e59	N0260	 {the latter} {duplicate} {strange} {witty}
J3239	U6e29	N2634	 {warm}
J323b	U97f3	N5110	 {sound} {noise}
J323c	U4e0b	N0009	 {below} {down} {descend} {give} {low} {inferior}
J323d	U5316	N0350	 {change} {take the form of} {influence} {enchant} {delude} {-ization}
J323f	U4f55	N0409	 {what}
J3241	U4fa1	N0422	 {value} {price}
J3243	U52a0	N0716	 {add} {addition} {increase} {join} {include} {Canada}
J3244	U53ef	N0024	 {can} {passable} {mustn't} {should not} {do not}
J3246	U590f	N0058	 {summer}
J3248	U5bb6	N1311	 {house} {home}
J324a	U79d1	N3272	 {department} {course} {section}
J324c	U679c	N0107	 {fruit} {reward} {carry out} {achieve} {complete} {end} {finish} {succeed}
J324f	U6cb3	N2530	 {river}
J3250	U706b	N2743	 {fire}
J3256	U82b1	N3909	 {flower}
J3259	U8377	N3956	 {baggage} {shoulder-pole load} {bear (a burden)} {shoulder (a gun)} {load} {cargo} {freight}
J3261	U904e	N4723	 {overdo} {exceed} {go beyond} {error}
J3267	U7259	N2848	 {tusk} {fang}
J3268	U753b	N0050	 {brush-stroke} {picture}
J3272	U89e3	N4306	 {unravel} {notes} {key} {explanation} {understanding} {untie} {undo} {solve} {answer} {cancel} {absolve} {explain} {minute}
J3273	U56de	N1028	 {-times} {round} {game} {revolve}
J3323	U68b0	N2264	 {contraption} {fetter} {machine} {instrument}
J3324	U6d77	N2553	 {sea} {ocean}
